,GO Primary Key,Council District,Highest NIBRS/UCR Offense Description,Clearance Status,GO Location Zip,Longitude,Latitude,Processing Time,month,weekday
69,"201,511,319",4,Theft,O,78758,-97.70101714020994,30.37190900441047,68.0,1,3
70,"20,155,000,083",2,Theft,N,78744,-97.76506996755836,30.19294293226346,13.0,1,3
71,"20,155,000,013",7,Theft,N,78757,-97.72096517996223,30.335272200044017,12.000000000000002,1,3
72,"20,155,000,075",2,Theft,N,78744,-97.75642764899094,30.18210357803925,1.0,1,3
73,"20,155,000,016",9,Theft,N,78701,-97.73634632925597,30.267076296168558,12.000000000000002,1,3
74,"201,511,618",8,Theft,N,78746,-97.82265998581114,30.27359863471937,5.0,1,3
75,"20,155,000,009",1,Theft,N,78653,-97.61377624384086,30.36937934909512,144.0,1,3
76,"20,155,000,022",2,Theft,N,78744,-97.71609070128763,30.212122040881532,6.000000000000001,1,3
77,"20,155,000,093",4,Theft,N,78723,-97.70785498205471,30.31333704109166,13.0,1,3
78,"20,158,000,007",9,Theft,C,78704,-97.75020311953494,30.257092164750624,210.0,1,3
79,"201,511,883",4,Theft,N,78723,-97.7012036092163,30.310106478324162,26.0,1,3
80,"20,155,000,014",1,Theft,N,78723,-97.68897720980688,30.312071645649482,14.0,1,3
81,"20,155,000,048",9,Theft,N,78722,-97.7118249190743,30.299528966025488,33.0,1,3
82,"20,155,000,095",9,Theft,N,78701,-97.73856218107277,30.26715419250081,1.0,1,3
84,"201,520,720",4,Robbery,C,78758,-97.70435333719635,30.35459782155593,18.0,1,4
85,"201,520,222",2,Robbery,N,78617,-97.65233523126116,30.21085813246594,61.0,1,4
86,"201,520,852",4,Robbery,C,78752,-97.70808922692038,30.335721563048054,19.0,1,4
87,"201,521,065",1,Burglary,C,78723,-97.68685850023351,30.311651120732478,52.0,1,4
88,"201,520,660",1,Burglary,N,78723,-97.68867652507271,30.307659342199827,12.000000000000002,1,4
89,"201,521,445",10,Burglary,N,78731,-97.7750759974723,30.350607183644076,14.0,1,4
